STD,Skew,kurtosis,PP,Sigma,Class
2.5,6.08,47.86,0.41099112,39.1,lead
2.36,6.62,47.55,0.427782528,35.81,lead
2.38,6.73,47.45,0.397562514,34.01,lead
2.43,6.51,47.39,0.192440962,30.65,lead
2.38,6.72,47.28,0.450041203,35.08,lead
2.55,6.42,47.24,0.167903278,25.79,lead
2.55,6.19,47.23,0.380891216,38.5,lead
2.44,6.36,47.21,0.270121552,29.41,lead
2.38,6.67,47.16,0.328563765,34.2,lead
2.43,6.61,47.12,0.466776829,43.49,lead
2.43,6.64,46.94,0.407006714,35.17,lead
2.34,6.82,46.83,0.405759324,32.69,lead
2.41,6.7,46.6,0.462618505,36.85,lead
2.93,5.5,46.6,0.35249411,36.57,lead
2,6.65,46.43,0.44577084,45.83,lead
2.47,6.57,46.09,0.298145208,31.28,lead
2.36,6.73,46.03,0.472913976,42.81,lead
2.61,6.25,45.91,0.426940892,41.44,lead
2.49,6.42,45.86,0.23986165,30.4,lead
2.49,6.55,45.86,0.198075912,28.99,lead
2.43,6.61,45.82,0.376093244,40.62,lead
2.52,6.42,45.8,0.240726864,26.34,lead
2.44,6.55,45.41,0.358742063,38.86,lead
2.47,6.68,45.3,0.402432959,36.04,lead
2.47,6.51,45.3,0.388839445,36.7,lead
2.49,6.56,45.28,0.398976001,39.27,lead
2.46,6.56,45.2,0.404262538,45.35,lead
3.13,5.85,45.09,0.218300101,26.37,lead
3.1,5.95,45.04,0.067530527,23.7,lead
2.49,6.52,44.55,0.466773504,36.67,lead
2.07,6.51,44.48,0.461111424,45.1,lead
2.55,6.48,44.42,0.459949608,36.19,lead
2.78,5.96,44.4,0.413746733,36.36,lead
1.23,6.43,44.14,0.45332863,40.49,lead
2.62,6.25,44.04,0.229063265,29.03,lead
2.57,6.46,43.31,0.430729088,30.35,lead
2.56,6.52,43.31,0.414311725,36.76,lead
2.78,6.05,43.12,0.156130508,27.83,lead
2.6,6.29,42.71,0.386979628,36.85,lead
3.38,5.17,42.58,0.068436574,21.15,lead
2.62,6.35,42.24,0.410594574,36.61,lead
2.58,6.36,42.14,0.412665529,36.61,lead
2.68,6.15,42.09,0.303905065,32.96,lead
2.67,6.24,42.06,0.454883043,43.07,lead
2.62,6.41,41.97,0.460858497,37.52,lead
1.71,6.23,41.86,0.430109997,41.39,lead
3.12,5.4,41.86,0.334550003,33.62,lead
1.34,6.3,40.95,0.411212901,38.84,lead
2.87,6.09,40.6,0.459707628,40.65,lead
3.31,5.56,40.24,0.35936369,37.27,lead
3,5.79,40.07,0.410494272,39.99,lead
3.04,5.56,39.81,0.307849493,31.67,lead
2.71,6.3,39.75,0.443748519,43.17,lead
2.71,6.27,39.67,0.289054437,26.81,lead
2.99,5.65,39.46,0.317671524,34.83,lead
2.3,6.29,39.38,0.459581899,45.6,lead
2.93,5.89,39.3,0.233992566,30.18,lead
1.46,6.12,39.14,0.372250087,40.27,lead
3.21,5.61,39.13,0.380756225,35.3,lead
2.34,6.03,39.01,0.443493267,45.83,lead
3.08,5.66,38.84,0.380424687,37.44,lead
2.85,6.13,38.76,0.334683268,31.73,lead
3.02,5.86,38.65,0.45275237,41.5,lead
